"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name","he-icon href","text-ellipsis"
"https://www.hepsiemlak.com/istanbul-beylikduzu-baris-kiralik/daire/0-44901375","50","21.000","10-01-2026","Kiralık Daire","1 +
                          1","40 m²","6
                        Yaşında","Ara Kat","Beylikdüzü Metrobüs Yanı Eşyalı Daire ( Tüm Faturalar Dahil)","İstanbul / Beylikdüzü / Barış Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-nurtepe-kiralik/daire/43996-28052","35","42.000","05-03-2026","Kiralık Daire","2 +
                          1","88 m²","11
                        Yaşında","2. Kat","Koyuyeşilden  Yeni  Esyalı Veya Boş Metro  5 Dk  Hasbahce   2 Dk","İstanbul / Kağıthane / Nurtepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/koyuyesil-gayrimenkul-43996/mustafa-koyuyesil-847773","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Koyuyeşil Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/daire/2022-68805","17","70.000","02-03-2026","Kiralık Daire","2 +
                          1","90 m²","35
                        Yaşında","Giriş Katı","1. Levent Levazım Aydın Sitesinde Kiralık 2+1 Daire","İstanbul / Beşiktaş / Levazım Mah.","https://www.hepsiemlak.com/emlak-ofisi/uptown-istanbul-gayrimenkul-2022/azat-tetik-3404935","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uptown İstanbul Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-bostanci-kiralik/daire/124165-1107","17","85.000","06-03-2026","Kiralık Daire","3 +
                          1","130 m²","31
                        Yaşında","2. Kat","Tek Yetkili! Bostancı'nın Merkezinde 3+1 Kiralık Daire","İstanbul / Kadıköy / Bostancı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-etiler-kiralik/daire/2033-4405","24","90.000","16-02-2026","Kiralık Daire","3 +
                          1","160 m²","45
                        Yaşında","3. Kat","Etiler Nispetiye Cad.Yakın Çamlıkta E 3+1  160 M2  Köşe Daire Kaya Aş","İstanbul / Beşiktaş / Etiler Mah.","https://www.hepsiemlak.com/emlak-ofisi/kaya-emlak-insaat-as-2033/yalcin-kaya-2033","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kaya Emlak İnşaat A.Ş.","",""
"https://www.hepsiemlak.com/istanbul-kartal-kordonboyu-kiralik/daire/16829-2797","22","85.000","27-02-2026","Kiralık Daire","4 +
                          1","160 m²","11
                        Yaşında","2. Kat","Kordonboyu Sahilde Kiralik Yeni 4+1daıre","İstanbul / Kartal / Kordonboyu Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-cihannuma-kiralik/daire/1217-6470","22","50.000","05-03-2026","Kiralık Daire","2 +
                          1","90 m²","35
                        Yaşında","3. Kat","Yüksel Önder | Barbaros Bulvarında 2+1 Ful Eşyalı Kiralık Daire","İstanbul / Beşiktaş / Cihannüma Mah.","https://www.hepsiemlak.com/emlak-ofisi/yuksel-onder-emlak-1217","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Yüksel Önder Emlak","",""
"https://www.hepsiemlak.com/istanbul-sariyer-pinar-kiralik/daire/9636-17239","22","410.000","28-02-2026","Kiralık Daire","5 +
                          1","330 m²","13
                        Yaşında","5. Kat","İstinyepark Evleri Yetkili Kiralık 5+1 Çatı Dubleksi Daire /lux","İstanbul / Sarıyer / Pınar Mah.","https://www.hepsiemlak.com/emlak-ofisi/lux-properties-istinyepark-zorlu-center-9636","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Lux Properties İstinyepark Zorlu Center","",""
"https://www.hepsiemlak.com/istanbul-fatih-aksaray-kiralik/daire/56628-1447","10","36.000","06-03-2026","Kiralık Daire","2 +
                          1","75 m²","40
                        Yaşında","Giriş Katı","Full Eşyalı Kiralık Yüksek Giriş","İstanbul / Fatih / Aksaray Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-muradiye-kiralik/daire/1863-1802","10","25.000","05-03-2026","Kiralık Daire","1 +
                          1","40 m²","40
                        Yaşında","Bodrum","Teşvikiye Camii Ve Nişantaşı Cafeler Bölgesine Çok Yakın","İstanbul / Beşiktaş / Muradiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/sahin-emlak-1863","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Şahin Emlak","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-safa-kiralik/daire/49812-549","14","50.000","03-03-2026","Kiralık Daire","4 +
                          1","180 m²","3
                        Yaşında","3. Kat","Yenidoğanda Geniş Teras Kullanımlı Ekstralı 4+1 Kiralık","İstanbul / Sancaktepe / Safa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
