"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","wp-btn","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/10227-19849","23","23.000","06-03-2026","Kiralık Daire","1 +
                          1","90 m²","11
                        Yaşında","2. Kat","Esenyurt Firdevs Evleri 1+1 Kiralık","İstanbul / Esenyurt / Barbaros Hayrettin Paşa Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/remax-time-10227","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Tıme","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-zeytinburnu-seyitnizam-kiralik/daire/109079-1382","23","60.000","06-03-2026","Kiralık Daire","2 +
                          1","125 m²","15
                        Yaşında","3. Kat","Bytoprak'tan Seyitnizamda Cadde Üzeri 2+1 Köşebaşı Binada Karanlık Odasız Deprem Sonrası Kiralık...","İstanbul / Zeytinburnu / Seyitnizam Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/toprak-insaat-emlak-109079","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Toprak İnşaat Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/24811-28238","23","60.000","06-03-2026","Kiralık Daire","1 +
                          1","55 m²","Sıfır Bina","1. Kat","Şişli Esentepede Sıfır Binada 1+1 Kiralık Daire","İstanbul / Şişli / Gülbahar Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/turyap-mecidiyekoy-cevre-temsilciligi-24811/hasan-cephe-24811","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Turyap Mecidiyeköy Çevre Temsilciliği","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Hasan
          Cephe"
"https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/25444-7200","32","200.000","06-03-2026","Kiralık Daire","3 +
                          1","290 m²","16
                        Yaşında","7. Kat","Nişantaşı Köşe Konumda Manzaralı 3,5 + 1 Kiralık Daire","İstanbul / Şişli / Harbiye Mah.","Whatsapp","","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/residence/25165-5965","32","74.000","06-03-2026","Kiralık Residence","2 +
                          1","85 m²","11
                        Yaşında","2. Kat","Bomonti Life Residence'da Güvenlikli-Otoparklı Kiralık 2+1 Daire","İstanbul / Şişli / Cumhuriyet Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/project-25165","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/6/1/5/2/0/5400524a-a8ac-4378-93b8-c09ca64d25db.jpg","Project","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/6/1/5/2/0/34b14b72-d8f0-4b52-9762-85cc4e6985e4.jpg","Levon
          Zurnacı"
"https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-kiralik/daire/29229-3414","14","25.000","07-03-2026","Kiralık Daire","2 +
                          1","70 m²","40
                        Yaşında","Bodrum","Doğan Emlaktan Seyyid Ömer Mah .2+1.70m2 Bodrum Kat Full Tadilatlı","İstanbul / Fatih / Seyyid Ömer Mah.","Whatsapp","","","","",""
"https://www.hepsiemlak.com/istanbul-tuzla-istasyon-kiralik/daire/6738-20526","14","60.000","05-03-2026","Kiralık Daire","3 +
                          1","145 m²","Sıfır Bina","1. Kat","Tuzla Marina 360 'da Kiralık Giyinme Odalı 3+1 Rezidans Daire","İstanbul / Tuzla / İstasyon Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/era-joy-6738","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/1/5/2/2/6/4/bb03586e-d931-4612-8642-e4d090738517.jpg","Era Joy","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/3/7/6/0/0/ea5865ba-bf67-43f6-b137-00c283862a16.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-ortakoy-kiralik/daire/9636-17455","14","550.000","03-03-2026","Kiralık Daire","3 +
                          1","370 m²","30
                        Yaşında","Bahçe Katı","Naile Sultan Korusun'da Muhteşem Boğaz Manzaralı Bahçe Dubleksi / Lux","İstanbul / Beşiktaş / Ortaköy Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/lux-properties-istinyepark-zorlu-center-9636","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/1/3/1/2/6/4/daf71e74-722c-48f7-b81e-766a6fc5482a.jpg","Lux Properties İstinyepark Zorlu Center","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/6/9/0/0/6d01c7d6-1f2b-4f57-b7ca-29f00a1342f9.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/10009-1333","14","30.000","05-03-2026","Kiralık Daire","2 +
                          1","80 m²","24
                        Yaşında","3. Kat","Şanlıdan  M.Köy  Gülbahar  Caddesi  Üzeri 3.  Kat  2+1","İstanbul / Şişli / Kuştepe Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-19-mayis-kiralik/daire/19996-4303","14","70.000","04-03-2026","Kiralık Daire","2 +
                          1","72 m²","Sıfır Bina","Yüksek Giriş","Erenköy*gürsoyluda*72m2 Yeni Sıfır 2+1 Ebeveynli*3 Cepheli*evyap","İstanbul / Kadıköy / 19 Mayıs Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
