"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/daire/121012-791","9","120.000","06-03-2026","Kiralık Daire","1 +
                          1","76 m²","1
                        Yaşında","2. Kat","Fdn'den Çırağan57 Rezidansta Kiralık 1+1 Bogaz Manzaralı","İstanbul / Beşiktaş / Yıldız Mah.","https://www.hepsiemlak.com/emlak-ofisi/fdn-gayrimenkul-real-estate-121012","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Fdn Gayrimenkul Real Estate","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-maltepe-findikli-kiralik/daire/2986-16972","24","37.000","20-01-2026","Kiralık Daire","3 +
                          1","135 m²","16
                        Yaşında","1. Kat","Fındıklı Vms Sitesinde 3+1 Kiralık Daire","İstanbul / Maltepe / Fındıklı Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-enjoy-2986/remax-enjoy-2986","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Enjoy","Remax
          Enjoy","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/remax-enjoy-2986","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/6231-13251","14","290.000","28-02-2026","Kiralık Daire","6 +
                          1","330 m²","27
                        Yaşında","Bahçe Katı","Kemer Country Resıdence'ta Özel Dekorasyonlu Yenilenmiş Bahçe Dubleksi","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231/irem-behar-524389","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Space İstanbul Gayrimenkul","İrem
          Behar","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/2/6/0/0/c1af0d37-bffe-4f0f-b732-0b6ea8d7a667.jpg","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231",""
"https://www.hepsiemlak.com/istanbul-sariyer-huzur-kiralik/daire/69537-102157","8","65.000","20-02-2026","Kiralık Daire","1 +
                          1","100 m²","10
                        Yaşında","18. Kat","Skyland Tower’da Ferah 1+1 Kiralık Daire","İstanbul / Sarıyer / Huzur Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-ferahevler-kiralik/daire/1358-4078","28","255.000","03-02-2026","Kiralık Daire","3 +
                          1","235 m²","5
                        Yaşında","2. Kat","Tarabya Therra Park'da Manzaralı Dublex","İstanbul / Sarıyer / Ferahevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/1-e-1-emlak-1358","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/3/1/0/0/35bc3251-dd2b-4506-b580-81482f826ce7.jpg","1-e-1 Emlak","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/63848-3488","6","25.000","25-02-2026","Kiralık Daire","2 +
                          1","70 m²","Sıfır Bina","Çatı Katı","Mecidiyeköy Gülbağ Da Sıfır Çatı Katı 2+1","İstanbul / Şişli / Gülbahar Mah.","https://www.hepsiemlak.com/emlak-ofisi/city-emlak-63848","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Cıty Emlak","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-kirazlidere-kiralik/daire/158476-30","","25.000","06-01-2026","Kiralık Daire","3 +
                          1","140 m²","16
                        Yaşında","2. Kat","Metroya 7 Dk!-Merkezi Konum-Cadde Üzeri-Geniş Ferah 3+1 Kiralık","İstanbul / Çekmeköy / Kirazlıdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/dialog-turkiye-sembol-gayrimenkul-158476","","Dialog Türkiye Sembol Gayrimenkul","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-atasehir-kayisdagi-kiralik/daire/88546-4775","30","45.000","10-01-2026","Kiralık Daire","2 +
                          2","95 m²","5
                        Yaşında","4. Kat","Emlak Store'dan 7tepe Karşısı Eşyalı Kiralık 2+2 Dubleks Daire","İstanbul / Ataşehir / Kayışdağı Mah.","https://www.hepsiemlak.com/emlak-ofisi/emlak-store-atasehir-88546","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Emlak Store Ataşehir","Emlak Store
          Ataşehir","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-besiktas-turkali-kiralik/daire/32591-480","23","55.000","15-12-2025","Kiralık Daire","2 +
                          1","90 m²","Sıfır Bina","3. Kat","Sıfır Bina İlk Siz Oturun 2+1... Kombili... Asansörlü","İstanbul / Beşiktaş / Türkali Mah.","https://www.hepsiemlak.com/emlak-ofisi/kaptan-emlak-instcltdsti-32591/mahmuthan-kaptan-32591","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kaptan Emlak İnş.t.c.ltd.şti.","Mahmuthan
          Kaptan","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","",""
"https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/129971-723","24","35.500","06-02-2026","Kiralık Daire","1 +
                          1","45 m²","Sıfır Bina","4. Kat","7tepe Ünv. Karşısı Sıfır Binada Lüx Eşyalı Ara Kat 1+1 Daireler","İstanbul / Ataşehir / İnönü Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
