"img-link href","photo-count","list-view-price","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-101864","33","85.000","Kiralık Daire","2 +
                          1","169 m²","8
                        Yaşında","9. Kat","Ağaoğlu Maslak 1453 2+1 Eşysız Güncel Kiralık Daire Hemen Taşın....","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/0/1/7/7/5/4/833967ab-d77a-4e9f-9983-307ad057cccb.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-101865","28","84.999","Kiralık Daire","2 +
                          1","169 m²","8
                        Yaşında","11. Kat","Ağaoğlu Maslak 1453 2+1 Eşysız Güncel Kiralık Daire Hemen Taşın....","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/0/1/7/7/5/4/212da211-ed10-42de-9f71-a9786a95d620.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-101869","33","85.000","Kiralık Daire","2 +
                          1","169 m²","8
                        Yaşında","8. Kat","Ağaoğlu Maslak 1453 2+1 Eşysız Güncel Kiralık Daire Hemen Taşın....","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/9/0/7/7/5/4/97b64669-861a-4865-a9cb-92829a287f35.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/residence/69537-99583","19","85.000","Kiralık Residence","2 +
                          1","169 m²","10
                        Yaşında","9. Kat","Maslak 1453 Sitesinde Kiiralık 2+1 Boş  L Teraslı Boş C Kule En Büyük Tip","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/1/1/7/7/5/4/2d6d4011-2b9d-434d-a885-8c236e0acaac.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-102253","21","85.000","Kiralık Daire","2 +
                          1","170 m²","8
                        Yaşında","15. Kat","Güncel!! Ağaoğlu Maslak 1453 2+1 Kiralık 6 Ay Peşin","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/5/1/7/7/5/4/7557f192-b195-45d8-a7be-507c9d77cc13.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-kiralik/daire/69537-102273","28","120.000","Kiralık Daire","2 +
                          1","120 m²","2
                        Yaşında","6. Kat","Çamlıvadi 2+1 Kapalı Mutfak","İstanbul / Kağıthane / Hamidiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/7/2/6/7/5/4/9822d575-ad5b-4c08-bde8-aaec535803dd.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-101860","34","85.000","Kiralık Daire","2 +
                          1","150 m²","7
                        Yaşında","20. Kat","Maslak Mashattan 2+1 Kapalı Mutfak Güncel Boş Kiralık Daire","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/7/2/6/7/5/4/826fdb9f-fb37-4dc5-b672-0d17eeb3efb2.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-101862","25","110.000","Kiralık Daire","3 +
                          1","200 m²","7
                        Yaşında","3. Kat","Maslak 1453 3+1 Eşyalı Güncel Kiralık Daire Hemen Taşın....","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/3/8/2/6/7/5/4/c2dbc193-d49f-49a4-baeb-d3a93bde8c9c.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-kiralik/daire/138031-1166","30","110.000","Kiralık Daire","3 +
                          1","190 m²","4
                        Yaşında","10. Kat","Mevsim İstanbulda | 3+1 Geniş | Full Eşyalı Lüks Kiralık Daire","İstanbul / Kağıthane / Hamidiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/promes-gayrimenkul-ve-danismanlik-138031","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/3/0/8/0/6/4/67b39e9e-c07f-483d-86c5-01518e2dec85.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/0/8/3/1/8c04463b-b6e2-4b21-ab96-bae968d207ab.jpg","Promes Gayrimenkul Ve Danışmanlık"
"https://www.hepsiemlak.com/istanbul-umraniye-tatlisu-kiralik/daire/7417-6172","26","48.000","Kiralık Daire","2 +
                          1","85 m²","5
                        Yaşında","2. Kat","Emekten Ataşehir Quatro Rezidans Bakımlı 85m2 2+1 Kiralık Daire","İstanbul / Ümraniye / Tatlısu Mah.","https://www.hepsiemlak.com/emlak-ofisi/emek-emlak-7417","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/0/2/4/2/6/4/6df9998a-a995-468b-8452-f760f5560a4e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/1/4/7/0/0/06f438fc-5621-4cdf-bb95-0397214a371d.jpg","Emek Emlak"
