area,room,living_room,age,floor,city,district,neighbourhood,price
85,1,1,40,5,istanbul,sariyer,buyukdere,65000
78,2,1,0,2,istanbul,kartal,cavusoglu,43000
72,2,1,43,1,istanbul,kadikoy,osmanaga,67500
169,3,1,16,3,istanbul,umraniye,tatlisu,75000
95,2,1,10,1,istanbul,avcilar,denizkoskler,9000
123,2,1,0,3,istanbul,sariyer,huzur,85000
80,2,1,30,2,istanbul,sisli,19 mayis,45000
90,2,1,16,1,istanbul,sisli,gulbahar,31000
103,2,1,1,3,istanbul,sancaktepe,abdurrahmangazi,30000
70,2,1,40,2,istanbul,besiktas,sinanpasa,40000
90,2,1,11,1,istanbul,basaksehir,bahcesehir 1. kisim,38000
98,2,1,0,6,istanbul,sariyer,maden,70000
65,1,1,40,0,istanbul,fatih,mevlanakapi,25000
90,2,1,11,1,istanbul,umraniye,armaganevler,36500
90,2,1,6,1,istanbul,umraniye,armaganevler,31500
140,2,1,21,2,istanbul,sancaktepe,sarigazi,25000
90,2,1,21,3,istanbul,tuzla,istasyon,22500
100,3,1,21,0,istanbul,avcilar,mustafa kemal pasa,25000
55,1,1,5,4,istanbul,esenyurt,akevler,18000
105,2,1,26,6,istanbul,kartal,hurriyet,25000
138,3,1,0,4,istanbul,umraniye,finanskent,90000
60,2,1,16,1,istanbul,atasehir,kayisdagi,30000
85,2,1,11,6,istanbul,atasehir,inonu,50000
108,2,1,11,2,istanbul,cekmekoy,nisantepe,40500
95,2,1,0,2,istanbul,kagithane,talatpasa,35000
208,4,1,4,5,istanbul,avcilar,tahtakale,62500
150,2,1,0,4,istanbul,sariyer,tarabya,75000
70,2,1,6,1,istanbul,esenyurt,mehmet akif ersoy,16000
90,2,1,11,3,istanbul,pendik,velibaba,27000
75,2,1,31,2,istanbul,beyoglu,sururi mehmet efendi,36000
85,2,1,5,2,istanbul,beyoglu,haciahmet,32500
82,2,1,0,2,istanbul,arnavutkoy,bolluca,29900
95,2,1,26,5,istanbul,kagithane,ortabayir,35000
70,2,1,26,1,istanbul,avcilar,tahtakale,15000
120,2,1,5,4,istanbul,esenyurt,orhan gazi,22000
120,2,1,21,2,istanbul,kucukcekmece,istasyon,26000
120,3,1,30,2,istanbul,avcilar,ambarli,30000
90,2,1,4,3,istanbul,gaziosmanpasa,yildiztabya,34000
116,2,1,0,4,istanbul,umraniye,finanskent,74000
120,2,1,15,-1,istanbul,basaksehir,guvercintepe,20000
165,3,1,25,4,istanbul,avcilar,merkez,45000
110,2,1,0,2,istanbul,tuzla,aydintepe,35000
70,1,1,0,1,istanbul,cekmekoy,merkez,26000
